customer_id,first_name,last_name,dob,gender,address,city,state,zip
C001,Megan,Chang,1977-11-22,F,8764 Howard Forge,West Donald,RI,33335
C002,Vanessa,Patel,1997-04-05,F,1157 Michael Island,New Thomas,NC,34644
C003,Bryan,Sellers,1950-03-25,M,609 Clayton Isle,Lake Mark,CA,25544
C004,Sally,Walker,2003-12-10,F,711 Golden Overpass,West Andreaville,MA,71317
C005,James,Lloyd,1986-07-06,F,1965 Kelly Field Apt. 094,Jonesberg,FL,5565
C006,Megan,Villanueva,2005-09-16,F,848 Melissa Springs Suite 947,Kellerstad,MD,80819
C007,Darrell,Matthews,1972-02-02,F,04135 Marvin Via,North Kristabury,OK,83627
C008,Renee,Ferguson,1995-08-03,F,13991 Davis Village,North Catherineborough,VT,16740
C009,Timothy,Acosta,1953-06-06,F,691 Jones Cliffs,Michaelburgh,NY,61728
C010,Benjamin,Garcia,1975-11-25,M,5792 Tammy Centers,Port Fernando,KS,15864
C011,Candice,Ramos,1961-03-03,M,6984 Price Shoals,Erictown,WA,10865
C012,Matthew,Williams,1968-05-21,F,75945 Jennifer Loaf,Pooleland,PA,25707
C013,Holly,Moore,1964-06-15,M,9606 Barton Station Apt. 271,Jacquelinemouth,NM,74085
C014,Cassandra,Smith,1951-12-03,M,4706 Amy Roads Apt. 206,Stewartborough,VT,99428
C015,Aaron,Carson,1985-03-24,F,19344 Craig Walk,Burtontown,NV,15676
C016,Michelle,Anderson,1984-09-19,M,24000 Erin Point Suite 590,Josephmouth,NE,49318
C017,Monica,Thompson,1974-10-31,F,22455 Higgins Junction Apt. 042,New Keith,OH,17493
C018,Kelly,Woods,1965-08-01,M,2814 Houston Hills,Rodriguezside,NJ,62629
C019,Matthew,Yates,2004-07-20,M,71760 Rogers Spur Apt. 296,North Lindseyborough,IN,8516
C020,Paul,Garcia,1987-02-21,F,7936 Micheal Green Apt. 635,North Lynntown,NC,59694
C021,Karen,Harris,1983-02-06,F,3039 Daniel Mount Suite 582,New Tonyaberg,MO,84172
C022,Erin,Rich,1982-12-26,M,7389 Alec Squares Suite 508,Port Jonathan,FL,50177
C023,Brandi,Robbins,2004-03-11,F,18013 Billy Bridge Suite 522,Schmitthaven,NC,66355
C024,Arthur,Davis,2003-04-25,F,634 Petersen Orchard,Lawsonbury,AK,86613
C025,Nicole,Yang,1969-11-08,F,1744 Cruz Lights Apt. 223,Jessicamouth,AZ,63589
C026,Robert,Vasquez,1990-03-27,M,256 Cheryl Lights,Williamsfort,FL,3152
C027,Antonio,Williamson,1992-02-21,F,85367 Nicole Ridge Suite 951,Kristinaberg,MS,39010
C028,Sabrina,Brennan,1995-08-13,F,306 Watson Field,Kellyland,AZ,64223
C029,Jonathan,Johnson,1984-08-30,F,18868 Dougherty Drive,Snowchester,CT,54979
C030,Bryan,Perry,1959-11-25,M,6607 Sharp Common,Chadstad,AK,45779
C031,Michael,Smith,1964-12-15,M,92303 Julie Hill Suite 093,East Shawn,MI,93231
C032,Susan,Anderson,1963-06-08,M,7448 White Common Apt. 894,South Rachael,IN,41905
C033,William,Young,1961-10-15,F,6029 Phillip Squares Apt. 264,Yangberg,NE,39564
C034,Dana,Miller,1979-07-17,M,806 Smith Stream Suite 735,Stephanieland,WY,14737
C035,Joshua,Grant,1996-02-08,F,762 Reynolds Gateway,Petersonhaven,MI,61113
